Member State,Code,Adolescent birth rate (per 1000 women aged 15-19 years),Annual mean concentrations of fine particulate matter (PM2.5) in urban areas (µg/m3),Average death rate due to natural disasters (per 100 000 population),Average of 13 International Health Regulations core capacity scores,Estimated direct deaths from major conflicts (per 100 000 population),Healthy life expectancy at birth (years),Infants receiving three doses of hepatitis B vaccine (%),Life expectancy at birth (years),Malaria incidence (per 1000 population at risk),Maternal mortality ratio (per 100 000 live births),Mortality rate attributed to exposure to unsafe WASH services (per 100 000 population),Mortality rate attributed to household and ambient air pollution (per 100 000 population),Mortality rate due to homicide (per 100 000 population),Mortality rate from unintentional poisoning (per 100 000 population),Neonatal mortality rate (per 1000 live births),New HIV infections among adults 15-49 years old (per 1000 uninfected population),Prevalence of overweight in children under 5 (%),Prevalence of stunting in children under 5 (%),Prevalence of wasting in children under 5 (%),"Probability of dying from any of CVD, cancer, diabetes, CRD between age 30 and exact age 70 (%)",Proportion of births attended by skilled health personnel (%),Proportion of married or in-union women of reproductive age who have their need for family planning satisfied with modern methods (%),Proportion of population using improved drinking-water sources (%),Proportion of population using improved sanitation (%),Proportion of population with primary reliance on clean fuels (%),Reported number of people requiring interventions against NTDs,Road traffic mortality rate (per 100 000 population),Skilled health professionals density (per 10 000 population),Suicide mortality rate (per 100 000 population),TB incidence (per 100 000 population),"Total alcohol per capita (15 years of age) consumption, in litres of pure alcohol, projected estimates",Total population (000s),Under-five mortality rate (per 1000 live births)
Botswana,BWA,39,19.3,0.1,62,0,56.9,95,65.7,1.1,129,9.2,38.1,12.4,2.7,21.9,14,11.2,31.4,7.2,20.9,100,_,96,63,63,252373,23.6,37.5,3.2,385,7.7,2262,43.6
Brazil,BRA,64.8,11.9,0.1,99,0.2,65.5,96,75,9.9,44,1.1,21.3,32.4,0.1,8.9,_,7.3,7.1,1.6,19.4,99,89.3,98,83,93,18680873,23.4,94.9,6,44,9.1,207848,16.4
Brunei Darussalam,BRN,16.6,5.4,0,92,0,70.4,99,77.7,_,23,0.1,0.2,2.1,1.2,4.3,_,8.3,19.7,2.9,16.8,100,_,_,_,95,9339,8.1,94.9,6.2,62,0.8,423,10.2
Bulgaria,BGR,40.8,30.5,0.1,69,0.1,66.4,95,74.5,_,11,0.1,174.8,1.9,1.2,5.6,_,_,_,_,24,94,_,99,86,79,379,8.3,86.4,14.5,27,11.3,7150,10.4
Burkina Faso,BFA,130,36.9,0.1,50,0.1,52.6,91,59.9,418.4,371,40.9,96.4,9.8,2.7,26.7,0.5,2.8,32.9,10.9,23.8,66,37.1,82,20,7,14961395,30,6.1,2.9,54,7.4,18106,88.6
Burundi,BDI,85,49.4,0.2,56,0.1,52.2,95,59.6,269.4,712,68.4,106,6.7,7,28.6,0.1,2.9,57.5,6.1,24.3,60,32.6,76,48,5,5332985,31.3,_,16.4,126,9.8,11179,81.7
Cabo Verde,CPV,_,_,0,58,0,64.4,95,73.3,0.7,42,4.5,58.2,8.8,0.3,12.2,0.9,_,_,_,15.1,92,73.2,92,72,71,135100,26.1,8.6,3.9,138,7.2,521,24.5
Cambodia,KHM,57,25,0.7,52,0.1,58.9,97,68.7,10.6,161,5.6,71.4,2.4,1,14.8,0.1,2,32.4,9.6,17.7,89,56.4,76,42,13,5566529,17.4,9.6,9,390,6.1,15578,28.7
Cameroon,CMR,119,64,0.1,91,1.2,50.3,87,57.3,271.8,596,40.9,89.6,11.7,2.7,25.7,3.8,6.7,31.7,5.2,19.9,65,40.2,76,46,18,19449659,27.6,5.2,4.9,220,7.7,23344,87.9
Canada,CAN,12.6,7.3,0.1,99,0.1,72.3,75,82.2,_,7,0.6,5.4,1.8,2,3.2,_,_,_,_,10.7,98,_,100,100,95,0,6,113.6,11.4,5.2,10.3,35940,4.9
Central African Republic,CAF,229,56.2,0,24,25.6,45.9,47,52.5,325,882,102.3,95.9,13.5,4.7,42.6,2.7,1.8,40.7,7.4,18.5,40,28.7,69,22,5,4050725,32.4,3.1,7.9,375,3.8,4900,130.1
Chad,TCD,203.4,61.8,0.1,43,0.1,46.1,46,53.1,157.9,856,92.8,121.8,9.4,4.6,39.3,1.5,2.5,39.9,13,23.2,24,17.5,51,12,5,10477490,24.1,2.3,2.7,159,4.4,14037,138.7
Chile,CHN,51.5,25.5,0.1,79,0.1,70.4,92,80.5,_,22,0.2,22.4,4.6,0.6,4.9,0.2,9.3,1.8,0.3,11.9,100,_,99,99,95,30,12.4,11.7,13,16,9.3,17948,8.1
China,CHN,6.2,61.8,0.1,99,0.1,68.5,99,76.1,0.1,27,0.4,163.1,1.1,2.9,5.5,_,6.6,9.4,2.3,19.4,100,_,96,77,57,26227888,18.8,31.5,8.7,68,7.6,1383925,10.7
Colombia,COL,84,18.4,0.2,86,0.8,65.1,90,74.8,8.9,64,0.8,23.6,43.9,0.3,8.5,0.2,4.8,12.7,0.9,12.4,99,83.7,91,81,91,4524693,16.8,20.9,5.5,33,6.6,48229,15.9
Comoros,COM,70,7,0.1,29,0,55.9,80,63.5,170.6,335,28.6,63.4,8,3.5,34,_,10.9,32.1,11.1,23.5,82,27.8,90,36,7,523106,28,_,10.5,35,0.2,788,73.5
Congo,COG,147,57.6,0.1,28,0,56.6,90,64.7,187.5,442,48.1,90.2,10.4,2.8,18,1.4,5.9,21.2,8.2,19.8,94,38.5,77,15,18,3568201,26.4,9.2,7.8,381,3.9,4620,45
Cook Islands,COK,56,0,_,63,_,_,99,_,_,_,_,_,3.1,_,4.4,_,_,_,_,_,100,_,100,98,80,22,24.2,77.8,_,12,4.8,21,8.1
Costa Rica,CRI,61.2,19.2,0.1,85,0,69.7,91,79.6,0.1,25,0.7,18.8,8.5,0.3,6.2,0.2,8.1,5.6,1,12.2,99,89.1,98,95,95,41518,13.9,18.8,6.9,11,5.1,4808,9.7
CŽte d'Ivoire,CIV,125,19.3,0.1,87,0.5,47,67,53.3,385.2,645,44.1,89.8,12.2,3.2,37.9,2.1,3.2,29.6,7.6,23.3,56,30.9,82,23,18,18131745,24.2,6.3,5.4,165,6.5,22702,92.6
Croatia,HRV,11.8,20.5,0.1,71,0,69.4,95,78,_,8,0.1,89.5,1.3,0.9,2.6,_,_,_,_,17.7,100,_,100,97,94,31,9.2,_,16.5,12,11.7,4240,4.3
Cuba,CUB,52.5,16.5,0.1,100,0,69.2,96,79.1,_,39,0.7,50.5,5,1.3,2.3,0.3,_,_,_,16.5,99,88.4,95,93,87,52997,7.5,157.8,14.6,9.4,5.5,11390,5.5
Cyprus,CYP,4.2,17.2,0,62,0,71.3,96,80.5,_,7,0.3,19.8,2,0.5,1.5,_,_,_,_,9.5,100,_,100,100,95,6,5.2,67.9,5.1,5.3,9.1,1165,2.7
Czech Republic,CZE,11.1,20.9,0.1,91,0.1,69.4,99,78.8,_,4,0.5,59.5,0.9,1.1,1.8,_,_,_,_,17,100,85.7,100,99,95,6,6.1,_,15.6,4.6,14.1,10543,3.4
Democratic People's Republic of Korea,PRK,0.7,31.6,0.2,73,0,64,93,70.6,2.1,82,1.4,234.1,4.7,3.3,13.5,_,0,27.9,4,27.1,100,76.7,100,82,7,5643102,20.8,_,_,442,4.4,25155,24.9
Democratic Republic of the Congo,COD,138,63.2,0.1,75,1.8,51.7,80,59.8,295.2,693,107.8,116.4,13.3,6.2,30.1,0.6,4.4,42.6,8.1,23.6,80,15.6,52,29,6,57568918,33.2,_,8,325,3.4,77267,98.3
Denmark,DNK,2.4,10.5,0.1,91,0.1,71.2,_,80.6,_,6,0.8,20.3,0.9,1.1,2.5,0.1,_,_,_,13.3,98,_,100,100,95,0,3.5,202.7,11.2,7.1,10.2,5669,3.5
Djibouti,DJI,20.6,46,0,46,0.1,55.8,78,63.5,25,229,26.4,40.5,7,3.7,33.4,1.1,8.1,33.5,21.5,18.8,87,_,90,47,10,107995,24.7,10.3,10.7,619,0.9,888,65.3
Dominica,DMA,47.2,16.3,_,66,_,_,97,_,_,_,_,_,6.8,_,15.6,_,_,_,_,_,100,_,_,_,92,8063,15.3,_,_,0.7,6.6,73,21.2
Dominican Republic,DOM,90,17,0.1,71,0,65.1,89,73.9,0.2,92,1.9,29.4,25.4,0.5,21.7,0.4,7.6,7.1,2.4,14.8,98,84.1,85,84,92,1192636,29.3,28.2,3.6,60,7.6,10528,30.9
Ecuador,ECU,_,13.5,0.1,90,0.1,67,83,76.2,0.1,64,1.8,15,13.8,0.7,10.8,0.2,7.5,25.2,2.3,11.9,96,80.7,87,85,95,1806145,20.1,38.8,8.9,54,6.1,16144,21.6
